site_id,delta,vote ,vote_new,site_name_x,year_x,ADDRESS_x,CITY_x,COUNTY_x,STATE_x,ZIP_CODE_x,REGION_x,NPL_STATUS_x,LATITUDE_x,LONGITUDE_x,SITE_SCORE_x,FEDERAL_x,grant_new,f_unemployment,f_owner,f_pop65,income_x,npv_x,lognpv,federal_status_x,president,party,EPA Region,site_type,negotiation_new,work ,PARTY_NUMBER,GENERAL_NOTICE_NUMBER,SPECIAL_NOTICE,negotiation,navy,army,manufacturing,airforce,defense,energy,black,hispanic,male_unemp,female_unemp,higherthan,graduate,grad_new,urban,pop,income_y,unemployment,education,education_new,black_c,hispanic_c,income_c,urban_c
ILD980823991,635,55.6,0.556,KERR-MCGEE (KRESS CREEK/WEST BRANCH OF DUPA,1990,KRESS CREEK JUST EAST OF EJ&E RR,DUPAGE COUNTY,DUPAGE,IL,60185,5,Currently on the,41.86,-88.21,39.05,G,0,0.21,3.37,0.75,47731.08,71900000,18.09,0,bush_father,1,5,Manufacturing/Processing/Maintenance,1,PRP lead ,2,0,0,0,0,0,1,0,0,0,852,8791,652,332,26947,3060,0.05,56537,59233,48399,0.02,0.51,5.1,0.01,0.15,10.79,0.95
ILD981000417,144,55.6,0.556,SOUTHEAST ROCKFORD GROUND WATER CONTAMINATI,1980,2613 S 11TH ST,ROCKFORD,WINNEBAGO,IL,61109,5,Currently on the,42.23,-89.07,42.24,G,0,0.43,2.55,1.12,26514.8,1728000,14.36,0,bush_father,1,5,Other,0,PRP lead ,192,0,0,0,0,0,0,0,0,0,2505,705,707,599,5716,475,0.02,25303,25303,15292,0.05,0.24,2.4,0.1,0.03,9.64,1
IL7213820460,474,55.6,0.556,JOLIET ARMY AMMUNITION PLANT (MANUFACTURING,1980,6MI S OF ELWOOD OFF RTE 53,JOLIET,WILL,IL,60434,5,Currently on the,41.38,-88.16,32.08,F,0,0.09,0.77,0.25,40293,17090182,16.65,1,reagan2,1,5,US Army,1,PRP lead ,,,,0,0,1,0,0,0,0,250,175,308,88,1651,279,0.02,18,17435,10506,0.02,0.11,1.1,0.01,0.01,9.26,0
ILD096731468,580,55.6,0.556,NL INDUSTRIES/TARACORP LEAD SMELTER,1980,16TH & CLEVELAND BLVD,GRANITE CITY,MADISON,IL,62040,5,Currently on the,38.7,-90.16,38.11,G,0,0.43,1.7,1.02,19562,25000000,17.03,0,reagan2,1,5,Recycling,0,PRP lead ,352,0,286,0,0,0,0,0,0,0,3632,351,737,323,4520,468,0.02,19253,19274,12747.5,0.05,0.26,2.6,0.19,0.02,9.45,1
ILD980824007,580,55.6,0.556,KERR-MCGEE (REED-KEPPLER PARK),1980,NEAR JCT OF YALE & NATIONAL,WEST CHICAGO,DUPAGE,IL,60185,5,Deleted from the,41.89,-88.21,41,G,0,0.15,1.71,0.51,47067.43,1,0,0,reagan2,1,5,Manufacturing/Processing/Maintenance,0,EPA lead ,2,0,0,0,0,0,1,0,0,0,367,2942,378,176,5850,1828,0.04,35998,41995,16320.67,0.01,0.18,1.8,0.01,0.07,9.7,0.86
ILD980824031,580,55.6,0.556,KERR-MCGEE (SEWAGE TREATMENT PLANT),1980,59TH ST & ROOSEVELT RD,WEST CHICAGO,DUPAGE,IL,60185,5,Deleted from the,41.86,-88.19,41,G,0,0.26,3.47,0.86,48561.31,1800000,14.4,0,reagan2,1,5,Waste Management,1,PRP lead ,1,0,0,0,0,0,0,0,0,0,101,2034,378,176,5850,1828,0.1,17767,18749,24481,0.03,0.41,4.1,0.01,0.11,10.11,0.95
ILD000716852,482,55.6,0.556,LAKE CALUMET CLUSTER,2010,122ND STREET AND STONY ISLAND AVE,CHICAGO,COOK,IL,60633,5,Currently on the,41.67,-87.57,30,G,0,0.07,0.51,0.27,35625.5,18980000,16.76,0,obama1,1,5,Waste Management,1,PRP lead ,170,0,0,0,0,0,0,0,0,0,1856,2640,118,82,2643,106,0.02,6031,6031,35625.5,0.03,0.46,4.6,0.31,0.44,10.48,1
ILD048843809,482,55.6,0.556,CHEMETCO,2010,3754 CHEMETCO LANE,HARTFORD,MADISON,IL,62048,5,Currently on the,38.84,-90.1,30,G,0,0.15,1.57,0.68,47555.6,13739407,16.44,0,obama1,1,5,Manufacturing/Processing/Maintenance,1,PRP lead ,15,0,0,0,0,0,1,0,0,0,154,360,284,125,7740,369,0.03,11768,14342,47555.6,0.03,0.57,5.7,0.01,0.03,10.77,0.82
ILN000510407,50,55.6,0.556,BAUTSCH-GRAY MINE,2010,1000 SOUTH BLACKJACK ROAD,GALENA,JO DAVIESS,IL,61036,5,Currently on the,42.36,-90.4,48.97,G,0,0.06,1.1,0.77,51372.33,13739407,16.44,0,obama1,1,5,Mining,0,PRP lead ,7,5,0,0,0,0,0,0,0,0,41,412,121,80,5781,1031,0.1,3165,9896,51372.33,0.02,0.69,6.9,0,0.04,10.85,0.32
ILD000802827,426,55.6,0.556,OUTBOARD MARINE CORP.,1980,200 SEA HORSE DR,WAUKEGAN,LAKE,IL,60085,5,Currently on the,42.37,-87.82,41,G,1,0.27,1.29,0.03,18641.86,34900000,17.37,0,reagan1,1,5,Manufacturing/Processing/Maintenance,0,PRP lead ,8,2,0,0,0,0,1,0,0,0,4926,5199,843,464,10182,3498,0.1,34394,34394,18641.86,0.04,0.4,4,0.14,0.15,9.83,1
ILD000814673,426,55.6,0.556,VELSICOL CHEMICAL CORP. (MARSHALL PLANT),1980,RTE 1 1MI N OF MARSHALL,MARSHALL,CLARK,IL,62441,5,Currently on the,39.41,-87.7,48.78,G,0,0.09,0.31,0,14146,9080910,16.02,0,reagan1,1,5,Manufacturing/Processing/Maintenance,1,PRP lead ,3,0,0,1,0,0,1,0,0,0,0,19,249,136,3005,380,0.04,0,9002,14146,0.04,0.38,3.8,0,0,9.56,0
ILD005443544,426,55.6,0.556,JOHNS-MANVILLE CORP.,1980,GREENWOOD AVE,WAUKEGAN,LAKE,IL,60085,5,Currently on the,42.39,-87.81,38.2,G,0,0.14,0.81,0.01,21791.5,4487590,15.32,0,reagan1,1,5,Waste Management,1,PRP lead ,7,2,0,0,0,0,0,0,0,0,960,2075,515,259,8270,3470,0.14,24877,24877,23132.8,0.03,0.47,4.7,0.04,0.08,10.05,1
ILN000508134,171,55.6,0.556,HEGELER ZINC,2000,1 HEGELER LANE,DANVILLE,VERMILION,IL,61832,5,Currently on the,40.08,-87.65,50,G,0,0.05,0.67,0.35,25982.5,4417000,15.3,0,bush_son2,1,5,Manufacturing/Processing/Maintenance,1,EPA lead ,5,4,0,0,0,0,1,0,0,0,17,69,95,60,2871,111,0.02,0,6154,25982.5,0.03,0.48,4.8,0,0.01,10.17,0
ILN000508170,689,55.6,0.556,ASARCO TAYLOR SPRINGS,2000,PUBLIC ROAD AND BROADWAY STREET,TAYLOR SPRING,MONTGOMERY,IL,62089,5,Currently on the,39.13,-89.49,30,G,0,0.08,0.9,0.54,44987.67,13739407,16.44,0,bush_son2,1,5,Manufacturing/Processing/Maintenance,1,PRP lead ,2,0,0,0,0,0,1,0,0,0,161,81,64,58,3176,184,0.03,2104,7119,28070,0.02,0.47,4.7,0.02,0.01,10.24,0.3
IND000715490,661,55.8,0.558,CONRAIL RAIL YARD (ELKHART),1990,SR 33,ELKHART,ELKHART,IN,46514,5,Currently on the,41.66,-86.01,42.24,G,0,0.12,1.04,0.5,28470.5,10900000,16.2,0,bush_father,0,5,Other,0,EPA lead ,3,2,2,0,0,0,0,0,0,0,2226,332,343,323,10315,638,0.03,17820,24098,28470.5,0.03,0.45,4.5,0.09,0.01,10.26,0.74
IND980500292,471,55.8,0.558,HIMCO DUMP,1990,COUNTY ROAD 10 AND NAPANEE EXTENS,ELKHART,ELKHART,IN,46514,5,Currently on the,41.71,-86.01,42.31,G,0,0.04,0.59,0.22,31416,11821000,16.29,0,bush_father,0,5,Waste Management,0,EPA lead ,68,69,0,0,0,0,0,0,0,0,342,148,140,183,7521,479,0.03,12073,15715,31416,0.02,0.51,5.1,0.02,0.01,10.36,0.77
IND000807107,47,55.8,0.558,REILLY TAR & CHEMICAL CORP. (INDIANAPOLIS P,1980,1500 S TIBBS AVE,INDIANAPOLIS,MARION,IN,46241,5,Currently on the,39.74,-86.22,34.03,G,0,0.17,1.03,0,15412,5500000,15.52,0,reagan2,0,5,Manufacturing/Processing/Maintenance,1,EPA lead ,5,0,0,0,0,0,1,0,0,0,172,170,658,236,4830,253,0.01,21097,21097,15551,0.04,0.24,2.4,0.01,0.01,9.65,1
IND006418651,47,55.8,0.558,BENNETT STONE QUARRY,1980,ST RTE 37 & ST RTE 46,BLOOMINGTON,MONROE,IN,47401,5,Currently on the,39.19,-86.56,32.55,G,0,0.14,0.66,0,8467.75,1189972,13.99,0,reagan2,0,5,Waste Management,0,PRP lead ,,,,0,0,0,0,0,0,0,721,179,406,333,3349,1889,0.09,14098,20363,8548.4,0.04,0.26,2.6,0.04,0.01,9.05,0.69
IND016360265,47,55.8,0.558,"AMERICAN CHEMICAL SERVICE, INC.",1980,420 SOUTH COLFAX AVENUE,GRIFFITH,LAKE,IN,46319,5,Currently on the,41.51,-87.42,34.98,G,0,0.09,0.48,0,18735.25,246000000,19.32,0,reagan2,0,5,Recycling,1,PRP lead ,1124,2,0,0,0,0,0,0,0,0,73,454,295,227,5816,1279,0.07,17520,17520,23313.67,0.03,0.4,4,0,0.03,10.06,1
IND050530872,47,55.8,0.558,"NORTHSIDE SANITARY LANDFILL, INC",1980,985 S ST RD 421,ZIONSVILLE,BOONE,IN,46077,5,Currently on the,40.03,-86.27,46.04,G,0,0.03,0.51,0,27133,30000000,17.22,0,reagan2,0,5,Waste Management,0,PRP lead ,237,1,0,0,0,0,0,0,0,0,20,86,190,88,6560,3492,0.18,0,19258,27133,0.01,0.52,5.2,0,0,10.21,0
IND980504005,474,55.8,0.558,"WASTE, INC., LANDFILL",1980,1701 EAST US 12,MICHIGAN CITY,LA PORTE,IN,46360,5,Deleted from the,41.72,-86.88,41,G,0,0.28,2.05,1.17,26335.75,15700000,16.57,0,reagan2,0,5,Waste Management,0,EPA lead ,143,35,0,0,0,0,0,0,0,0,4935,263,509,449,6793,1682,0.07,0,24003,18368.25,0.04,0.35,3.5,0.21,0.01,9.82,0
IND980679542,580,55.8,0.558,FORT WAYNE REDUCTION DUMP,1980,5225 OLD MAUMEE RD,FORT WAYNE,ALLEN,IN,46803,5,Currently on the,41.08,-85.07,42.47,G,0,0.15,1.04,0.35,29649.25,10020000,16.12,0,reagan2,0,5,Waste Management,0,EPA lead ,4,3,0,0,0,0,0,0,0,0,1066,220,122,45,637,34,0.01,3404,3404,11163,0.05,0.2,2,0.31,0.06,9.32,1
IND980679559,580,55.8,0.558,MIDCO II,1980,5900 INDUSTRIAL HIGHWAY,GARY,LAKE,IN,46406,5,Currently on the,41.62,-87.41,30.16,G,0,0.14,0.36,0.19,21604.5,19000000,16.76,0,reagan2,0,5,Recycling,0,EPA lead ,238,0,214,0,0,0,0,0,0,0,15390,2215,715,562,4996,734,0.03,21207,21207,18884,0.06,0.27,2.7,0.73,0.1,9.85,1
IND005480462,484,55.8,0.558,CAM-OR INC.,1990,STATE ROAD 2 AND HIGHWAY 421,WESTVILLE,LA PORTE,IN,46391,5,Currently on the,41.55,-86.9,58.91,G,1,0.09,0.99,0.4,39635.67,1025000,13.84,0,clinton2,0,5,Recycling,0,PRP lead ,97,17,0,0,0,0,0,0,0,0,1232,118,82,26,3419,46,0.01,0,6570,28344,0.02,0.53,5.3,0.19,0.02,10.25,0
IND047030226,153,55.8,0.558,"U.S. SMELTER AND LEAD REFINERY, IN",2000,5300 KENNEDY AVE,EAST CHICAGO,LAKE,IN,46312,5,Currently on the,41.62,-87.46,58.31,G,0,0.31,1.26,0.72,33604,29900000,17.21,0,obama1,0,5,Multiple,0,EPA lead ,2,0,0,0,0,0,0,0,0,0,2,11,45,28,1682,53,0.02,0,3250,31900,0.02,0.53,5.3,0,0,10.37,0
IND077005916,418,55.8,0.558,GARY DEVELOPMENT LANDFILL,2010,479 N. CLINE AVENUE,GARY,LAKE,IN,46406,5,Currently on the,41.37,-87.25,30,G,0,0.02,0.29,0.12,80453,13739407,16.44,0,obama1,0,5,Waste Management,1,PRP lead ,24,6,0,0,0,0,0,0,0,0,226,845,150,25,5037,523,0.05,8457,10054,80453,0.02,0.55,5.5,0.02,0.08,11.3,0.84
IND074315896,426,55.8,0.558,FISHER-CALO,1980,PO BOX 684 KINGSBURY IND PK,LA PORTE,LA PORTE,IN,46350,5,Currently on the,41.51,-86.67,52.05,G,0,0.03,0,0,18750,5500000,15.52,0,reagan1,0,5,Recycling,0,PRP lead ,385,4,0,0,0,0,0,0,0,0,194,24,86,78,1458,243,0.05,0,5031,18750,0.03,0.34,3.4,0.04,0,9.84,0
IND084259951,426,55.8,0.558,ENVIROCHEM CORP.,1980,865 SOUTH STATE ROAD 421,ZIONSVILLE,BOONE,IN,46077,5,Currently on the,40.03,-86.28,46.44,G,0,0.03,0.51,0,27133,25000000,17.03,0,reagan1,0,5,Recycling,0,EPA lead ,918,488,0,0,0,0,0,0,0,0,20,86,190,88,6560,3492,0.18,0,19258,27133,0.01,0.52,5.2,0,0,10.21,0
IND980614556,426,55.8,0.558,NEAL'S LANDFILL (BLOOMINGTON),1980,HWY #48,BLOOMINGTON,MONROE,IN,47401,5,Currently on the,39.17,-86.64,42.93,G,0,0.08,0.21,0,12758,2768997,14.83,0,reagan1,0,5,Waste Management,0,EPA lead ,1,1,0,0,0,0,0,0,0,0,127,69,315,131,3556,1025,0.09,4601,11302,16637,0.04,0.41,4.1,0.01,0.01,9.72,0.41
IND980615421,426,55.8,0.558,MIDCO I,1980,7400 W 15TH AVE,GARY,LAKE,IN,46401,5,Currently on the,41.59,-87.43,46.44,G,0,0.36,1.72,0.02,20995.75,14000000,16.45,0,reagan1,0,5,Recycling,0,EPA lead ,239,1,214,0,0,0,0,0,0,0,22992,6980,2148,1372,19394,2106,0.03,74490,74490,20995.75,0.05,0.29,2.9,0.31,0.09,9.95,1
IND980794341,426,55.8,0.558,LEMON LANE LANDFILL,1980,LEMON LANE,BLOOMINGTON,MONROE,IN,47401,5,Currently on the,39.17,-86.56,29.31,G,0,0.19,0.77,0,8537.67,9112000,16.03,0,reagan1,0,5,Waste Management,0,EPA lead ,1,0,0,0,0,0,0,0,0,0,1017,297,673,571,6461,2400,0.07,24581,33521,8119.86,0.04,0.26,2.6,0.03,0.01,9,0.73
IND980794358,426,55.8,0.558,MAIN STREET WELL FIELD,1980,1120 N MAIN ST,ELKHART,ELKHART,IN,46514,5,Currently on the,41.7,-85.98,42.49,G,0,0.34,0.51,0,14792.83,3370000,15.03,0,reagan1,0,5,Other,0,EPA lead ,27,22,1,0,0,0,0,0,0,0,559,245,697,729,8684,1938,0.07,25165,26110,14792.83,0.05,0.41,4.1,0.02,0.01,9.6,0.96
IND980794366,426,55.8,0.558,MARION (BRAGG) DUMP,1980,2627-2629 CENTRAL AVE,MARION,GRANT,IN,46952,5,Currently on the,40.54,-85.63,35.25,G,0,0.22,0.94,0,15430,13739407,16.44,0,reagan1,0,5,Waste Management,0,EPA lead ,21,4,16,0,0,0,0,0,0,0,2382,306,497,402,4472,805,0.05,0,16964,15430,0.05,0.31,3.1,0.14,0.02,9.64,0
IND980794432,426,55.8,0.558,NINTH AVENUE DUMP,1980,7357 W NINTH AVE,GARY,LAKE,IN,46402,5,Currently on the,41.59,-87.43,40.32,G,0,0.28,1.29,0.01,21395.67,16510000,16.62,0,reagan1,0,5,Waste Management,0,EPA lead ,217,0,0,0,0,0,0,0,0,0,22456,5781,1772,1201,15900,1608,0.03,60525,60525,21395.67,0.05,0.29,2.9,0.37,0.1,9.97,1
KS6214020756,661,58.9,0.589,FORT RILEY,1990,DICKMAN AVE,JUNCTION CITY,GEARY,KS,66441,7,Currently on the,39.17,-96.75,33.79,F,0,0.02,0,0,20627,14100000,16.46,1,bush_father,0,7,US Army,1,PRP lead ,,,,0,0,1,0,0,0,0,4339,1318,44,283,4342,22,0,0,13456,20627,0.02,0.32,3.2,0.32,0.1,9.93,0
KSD031349624,570,58.9,0.589,"CHEMICAL COMMODITIES, INC.",1990,S. KEELER ST,OLATHE,JOHNSON,KS,66061,7,Currently on the,38.88,-94.81,50,G,1,0.16,1.37,0.52,35184.86,4400000,15.3,0,clinton1,0,7,Recycling,0,PRP lead ,17,0,0,0,0,0,0,0,0,0,1629,895,613,421,23395,1829,0.04,47408,48306,35184.86,0.02,0.52,5.2,0.03,0.02,10.47,0.98
KSD980632301,426,58.9,0.589,DOEPKE DISPOSAL (HOLLIDAY),1980,HOLLIDAY DR,SHAWNEE MISSI,JOHNSON,KS,66218,7,Currently on the,39.03,-94.8,47.46,G,0,0.03,0.27,0,13937.2,13739407,16.44,0,reagan1,0,7,Waste Management,0,PRP lead ,70,0,0,0,0,0,0,0,0,0,28,67,53,29,1634,657,0.14,1931,4796,27343,0.02,0.48,4.8,0.01,0.01,10.22,0.4
KY8890008982,570,49.7,0.497,PADUCAH GASEOUS DIFFUSION PLANT (USDOE),1990,HOBBS AND WOODVILLE ROADS,PADUCAH,MCCRACKEN,KY,42053,4,Currently on the,37.12,-88.81,56.95,F,0,0.03,0.33,0.14,25822,5600000,15.54,1,clinton1,0,4,Department of Energy,1,PRP lead ,,,,0,0,0,0,0,0,1,108,17,42,76,2212,110,0.02,0,4696,25822,0.03,0.49,4.9,0.02,0,10.16,0
KYD049062375,570,49.7,0.497,NATIONAL SOUTHWIRE ALUMINUM CO.,1990,JCT KY HWY 271 & 334,HAWESVILLE,HANCOCK,KY,42348,4,Currently on the,37.94,-86.79,50,G,0,0.16,1.16,0.59,25505.5,25115736,17.04,0,clinton1,0,4,Manufacturing/Processing/Maintenance,0,PRP lead ,1,0,0,0,0,0,1,0,0,0,101,47,309,259,6232,355,0.02,0,14715,25505.5,0.04,0.45,4.5,0.01,0,10.15,0
KYD985069954,24,49.7,0.497,NATIONAL ELECTRIC COIL CO./COOPER INDUSTRIE,1990,OLD HIGHWAY 119,DAYHOIT,HARLAN,KY,40824,4,Currently on the,36.84,-83.37,50,G,0,0.09,0.55,0.24,16186,2287000,14.64,0,bush_father,0,4,Manufacturing/Processing/Maintenance,0,PRP lead ,4,1,0,0,0,0,1,0,0,0,19,33,214,163,2528,218,0.03,0,8249,16186,0.05,0.33,3.3,0,0,9.69,0
KYD097267413,580,49.7,0.497,SMITH'S FARM,1980,PRYOR VALLEY RD,BROOKS,BULLITT,KY,40165,4,Currently on the,38.04,-85.73,32.69,G,0,0.03,0.29,0.06,22575,26891000,17.11,0,reagan2,0,4,Waste Management,0,PRP lead ,39,14,0,0,0,0,0,0,0,0,27,28,141,72,1053,91,0.02,1251,5099,15520,0.04,0.22,2.2,0.01,0.01,9.65,0.25
LA0213820533,126,61.8,0.618,LOUISIANA ARMY AMMUNITION PLANT,1980,HWY 80 E/PO BOX 30059,DOYLINE,WEBSTER PARISH,LA,71130,6,Currently on the,32.54,-93.42,30.26,F,0,0.06,0.32,0.14,19803,43297,10.68,1,bush_father,0,6,Department of Defense,1,PRP lead ,1,0,0,0,0,0,0,0,1,0,2364,122,155,151,2216,355,0.04,0,8682,12733,0.04,0.3,3,0.27,0.01,9.45,0
LAD980879449,474,61.8,0.618,DUTCHTOWN TREATMENT PLANT,1980,I10 & HWY 74,ASCENSION PAR,ASCENSION PARISH,LA,70734,6,Deleted from the,30.26,-90.98,41,G,0,0.13,0.77,0.25,28472,760197,13.54,0,reagan2,0,6,Recycling,0,PRP lead ,86,54,17,0,0,0,0,0,0,0,3539,430,311,166,6113,991,0.04,0,22056,20240.67,0.02,0.32,3.2,0.16,0.02,9.92,0
MA0213820939,23,56.3,0.563,MATERIALS TECHNOLOGY LABORATORY (USARMY),1980,OFF OF US HWY 20/N BEACON ST,WATERTOWN,MIDDLESEX,MA,2172,1,Deleted from the,42.36,-71.17,41,F,0,0.37,1.97,1.68,43737.08,1,0,1,reagan2,1,1,US Army,1,PRP lead ,,,,0,0,1,0,0,0,0,734,1358,858,574,19993,13722,0.21,66010,66010,20447.89,0.02,0.51,5.1,0.01,0.02,9.93,1
MAD051787323,47,56.3,0.563,IRON HORSE PARK,1980,HIGH ST,BILLERICA,MIDDLESEX,MA,1862,1,Currently on the,42.58,-71.27,42.93,G,0,0.06,0.7,0,24291.75,47000,10.76,0,reagan2,1,1,Waste Management,0,EPA lead ,89,68,15,0,0,0,0,0,0,0,215,237,283,175,9571,2636,0.09,26139,29009,24291.75,0.02,0.42,4.2,0.01,0.01,10.1,0.9
MAD980503973,580,56.3,0.563,SHPACK LANDFILL,1980,UNION RD,NORTON/ATTLEB,BRISTOL,MA,2703,1,Currently on the,41.94,-71.24,29.45,G,0,0.07,0.54,0.2,44191.5,55553000,17.83,0,reagan2,1,1,Waste Management,0,EPA lead ,25,18,28,0,0,0,0,0,0,0,80,113,149,102,3690,1022,0.09,5682,11536,19533.5,0.02,0.41,4.1,0.01,0.01,9.88,0.49
MAD980524169,580,56.3,0.563,ROSE DISPOSAL PIT,1980,BALANCE ROCK RD,LANESBORO,BERKSHIRE,MA,1237,1,Currently on the,42.51,-73.27,33.03,G,0,0.07,0.93,0.46,37954,4960620,15.42,0,reagan2,1,1,Waste Management,0,EPA lead ,4,0,1,0,0,0,0,0,0,0,108,61,258,181,4210,1130,0.1,9582,11772,18104.33,0.04,0.45,4.5,0.01,0.01,9.8,0.81
MAD980670566,580,56.3,0.563,NORWOOD PCBS,1980,NEAR RTE 1 & DEAN STREET,NORWOOD,NORFOLK,MA,2062,1,Deleted from the,42.18,-71.19,41,G,0,0.12,0.85,0.69,41259,16100000,16.59,0,reagan2,1,1,Manufacturing/Processing/Maintenance,0,EPA lead ,24,8,6,0,0,0,1,0,0,0,112,172,278,164,9434,3080,0.13,24338,24338,20464.75,0.02,0.51,5.1,0,0.01,9.93,1
MA1210020631,570,56.3,0.563,"NATICK LABORATORY ARMY RESEARCH, DEVELOPMEN",1990,100 KANSAS STREET,NATICK,MIDDLESEX,MA,1760,1,Currently on the,42.29,-71.36,50,F,0,0.17,1.6,0.8,49487.17,7516273,15.83,1,clinton1,1,1,US Army,1,PRP lead ,,,,0,0,1,0,0,0,0,612,539,479,407,15982,3647,0.12,29857,30470,49487.17,0.03,0.64,6.4,0.02,0.02,10.81,0.98
MA2170022022,570,56.3,0.563,SOUTH WEYMOUTH NAVAL AIR STATION,1990,1134 MAIN STREET,WEYMOUTH,NORFOLK,MA,2190,1,Currently on the,42.16,-70.93,50,F,0,0.14,1.02,0.51,48896.75,3791298,15.15,1,clinton1,1,1,US Navy,1,PRP lead ,,,,1,1,0,0,0,0,0,304,231,531,268,12428,1316,0.06,22327,23030,48896.75,0.03,0.6,6,0.01,0.01,10.8,0.97
MA6170023570,570,56.3,0.563,NAVAL WEAPONS INDUSTRIAL RESERVE PLANT,1990,165 HARTWELL ROAD,BEDFORD,MIDDLESEX,MA,1730,1,Currently on the,42.48,-71.29,50,F,0,0.1,1.28,0.65,59075.33,1,0,1,clinton1,1,1,US Navy,1,PRP lead ,,,,0,1,0,0,0,0,0,1119,705,358,248,17481,5380,0.15,29209,35680,59075.33,0.02,0.64,6.4,0.03,0.02,10.99,0.82
MA8570024424,570,56.3,0.563,HANSCOM FIELD/HANSCOM AIR FORCE BASE,1990,HARTWELL AVENUE,BEDFORD,MIDDLESEX,MA,1730,1,Currently on the,42.47,-71.29,50,F,0,0.13,1.34,0.59,58381.57,1032678,13.85,1,clinton1,1,1,US Air Force,1,PRP lead ,,,,0,0,0,0,1,0,0,1411,808,341,342,17709,6010,0.16,27269,37717,58381.57,0.02,0.63,6.3,0.04,0.02,10.97,0.72
MAD982191363,570,56.3,0.563,BLACKBURN & UNION PRIVILEGES,1990,SOUTH ST.,WALPOLE,NORFOLK,MA,2081,1,Currently on the,42.14,-71.25,50,G,0,0.08,0.83,0.34,51349.67,2040000,14.53,0,clinton1,1,1,Manufacturing/Processing/Maintenance,0,PRP lead ,7,8,4,0,0,0,1,0,0,0,323,309,343,198,10625,1412,0.07,20032,20223,51349.67,0.03,0.6,6,0.02,0.02,10.85,0.99
MA7210025154,379,56.3,0.563,FORT DEVENS,1980,BUENA VISTA ST,FORT DEVENS,"WORCESTER, MIDDL",MA,1433,1,Currently on the,42.54,-71.6,42.24,F,1,0.05,0.48,0.17,46628,185064,12.13,1,bush_father,1,1,US Army,1,PRP lead ,1,0,1,1,0,1,0,0,0,0,1838,715,89,219,5619,2252,0.12,0,19163,21690,0.02,0.41,4.1,0.1,0.04,9.98,0
MAD980520670,471,56.3,0.563,FORT DEVENS-SUDBURY TRAINING ANNEX,1990,HUDSON RD,SUDBURY,MIDDLESEX,MA,1775,1,Deleted from the,42.41,-71.48,41,F,0,0.07,1.17,0.33,68111,506000,13.13,1,bush_father,1,1,US Army,1,PRP lead ,1,0,1,0,0,1,0,0,0,0,210,410,343,216,12586,3556,0.13,20174,26415,68111,0.02,0.61,6.1,0.01,0.02,11.13,0.76
MAD001002252,426,56.3,0.563,"W.R. GRACE & CO., INC. (ACTON PLANT)",1980,50 INDEPENDENCE RD,ACTON,MIDDLESEX,MA,1720,1,Currently on the,42.45,-71.43,59.31,G,1,0.05,0.71,0,23910.75,18000000,16.71,0,reagan1,1,1,Multiple,0,EPA lead ,1,1,0,0,0,0,0,0,0,0,255,345,253,91,5847,3782,0.19,19291,20393,30214.33,0.02,0.47,4.7,0.01,0.02,10.32,0.95
MAD076580950,426,56.3,0.563,INDUSTRI-PLEX,1980,COMMERCE & ATLANTIC,WOBURN,MIDDLESEX,MA,1801,1,Currently on the,42.52,-71.14,72.42,G,0,0.07,0.41,0,19484.8,2799300,14.84,0,reagan1,1,1,Manufacturing/Processing/Maintenance,1,EPA lead ,57,30,2,1,0,0,1,0,0,0,90,126,206,152,7275,2346,0.11,21046,21046,23106,0.02,0.46,4.6,0,0.01,10.05,1
MAD980731335,426,56.3,0.563,NEW BEDFORD,1980,ACUSHNET ESTUARY,NEW BEDFORD,BRISTOL,MA,2740,1,Currently on the,41.64,-70.92,41,G,0,0.62,1.62,0.05,10342.47,120000000,18.6,0,reagan1,1,1,Manufacturing/Processing/Maintenance,0,EPA lead ,12,5,0,0,0,0,1,0,0,0,1751,1813,1086,819,9712,1870,0.04,43811,43811,10009.13,0.04,0.26,2.6,0.04,0.04,9.21,1
MAD980731483,426,56.3,0.563,PSC RESOURCES,1980,10 WATER ST,PALMER,HAMPDEN,MA,1069,1,Currently on the,42.15,-72.33,38.66,G,0,0.04,0.25,0,18168.5,3067045,14.94,0,reagan1,1,1,Recycling,0,PRP lead ,310,106,5,0,0,0,0,0,0,0,54,38,213,68,3951,895,0.07,0,12353,18168.5,0.02,0.39,3.9,0,0,9.81,0
MAD990685422,426,56.3,0.563,NYANZA CHEMICAL WASTE DUMP,1980,MEGUNKO RD,ASHLAND,MIDDLESEX,MA,1721,1,Currently on the,42.26,-71.47,69.22,G,0,0.04,0.48,0,23114,8500000,15.96,0,reagan1,1,1,Manufacturing/Processing/Maintenance,0,EPA lead ,35,29,0,0,0,0,1,0,0,0,93,60,142,55,3287,1262,0.14,7362,9165,23114,0.02,0.5,5,0.01,0.01,10.05,0.8
MD0120508940,570,54.4,0.544,BELTSVILLE AGRICULTURAL RESEARCH CENTER (US,1990,BEAVERDAM AND SHEEP ROADS,BELTSVILLE,PRINCE GEORGE'S,MD,20705,3,Currently on the,39.03,-76.88,50,F,0,0.05,0.95,0.26,47852.67,688000,13.44,1,clinton1,1,3,Department of Agriculture,1,EPA lead ,,,,0,0,0,0,0,0,0,1087,301,57,86,4501,784,0.09,7639,8987,47852.67,0.02,0.59,5.9,0.12,0.03,10.78,0.85
